Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,CalMass,AlignMasses,Abundance,sn,resolution,rel_abu,peak_index
225.060453938116,0,0,0,0,0,0,0,0,,None,226.067730404996,0,1,225.060453938116,225.060453938116,1403861.8,7.38,479873.1,0.00245438018939219,114
225.0768516863,11,14,5,0,0,0,0,0,CHO,Lignin,226.08412815318,-0.0203166849795637,1,225.0768516863,225.0768516863,10422231,71.02,475849.6,0.018221250336514,115
225.1132371926,12,18,4,0,0,0,0,0,CHO,Protein,226.12051365948,-0.0203134156552593,1,225.1132371926,225.1132371926,4486106.5,29.13,450226.4,0.0078430874898822,116
226.072110795118,10,13,5,1,0,0,0,0,CHON,Lignin,227.079387261998,-0.0648627699361418,1,226.072110795118,226.072110795118,4472371,29.03,426551.1,0.00781907363104553,117
226.080229806883,10,14,5,0,1,0,0,0,CHO,Lignin,227.087506273763,-0.122754718035758,0,226.080229806883,226.080229806883,1446964,7.68,446798.8,0.00252973602983119,118
226.108503847853,11,17,4,1,0,0,0,0,CHON,Protein,227.115780314733,-0.0980796347069259,1,226.108503847853,226.108503847853,1504310.6,8.09,500240,0.00262999544209599,119
227.0020257379,9,8,5,0,0,1,0,0,CHOS,Lignin,228.00930220478,-0.255022402278518,1,227.0020257379,227.0020257379,2929808.5,18.15,535382,0.00512220215772865,120
227.0197307379,9,8,7,0,0,0,0,0,CHO,Tannin,228.02700720478,-0.0201435787736352,1,227.0197307379,227.0197307379,1391378.5,7.29,493521,0.00243255555949041,121
227.031011113957,10,12,6,0,0,0,0,0,CHO,Lignin,228.038287580837,110.071590296805,1,227.031011113957,227.031011113957,1971603.6,11.38,555087.9,0.00344696665809577,122
227.0561162442,10,12,6,0,0,0,0,0,CHO,Lignin,228.06339271108,-0.020140365042998,1,227.0561162442,227.0561162442,55605400,389.88,450508.1,0.0972152616327534,123
227.0925017505,11,16,5,0,0,0,0,0,CHO,Lignin,228.09977821738,-0.0201371523376421,1,227.0925017505,227.0925017505,22136986,153.69,443540,0.0387022283042762,124
227.1288872568,12,20,4,0,0,0,0,0,CHO,Protein,228.13616372368,-0.0201339407816591,1,227.1288872568,227.1288872568,3147422,19.68,505855.1,0.0055026571735602,125
228.051389886044,9,11,6,1,0,0,0,0,CHON,Tannin,229.058666352924,-0.127749038364334,1,228.051389886044,228.051389886044,3215619.5,20.16,523053.6,0.00562188728080157,126
228.059503907957,9,12,6,0,1,0,0,0,CHO,Lignin,229.066780374837,-0.163355145470329,0,228.059503907957,228.059503907957,5089540.5,33.39,457950.8,0.00889807485060794,127
228.087749984239,10,15,5,1,0,0,0,0,CHON,Protein,229.095026451119,-0.0168223603202172,1,228.087749984239,228.087749984239,5402887.5,35.6,441175.5,0.0094459013312526,128
228.095905006263,10,16,5,0,1,0,0,0,CHO,Lignin,229.103181473143,-0.23138588604891,0,228.095905006263,228.095905006263,1851400.6,10.53,564593.8,0.0032368150164559,129
228.9813188021,9,10,7,0,0,0,0,0,CHO,Tannin,229.98859526898,235.043857965146,1,228.9813188021,228.9813188021,1496178.4,7.98,448104.3,0.00261577786699267,130
229.0353808021,9,10,7,0,0,0,0,0,CHO,Tannin,230.04265726898,-0.0199670793090127,1,229.0353808021,229.0353808021,7031161,46.79,465519,0.0122926218712034,131
229.0717663084,10,14,6,0,0,0,0,0,CHO,Lignin,230.07904277528,-0.0199639217686322,1,229.0717663084,229.0717663084,112621952,787.25,454507.4,0.196897648956242,132
229.075109506557,0,0,0,0,0,0,0,0,,None,230.082385973437,0,0,229.075109506557,229.075109506557,1876606.1,10.64,510189.5,0.0032808819465937,133
229.1081518147,11,18,5,0,0,0,0,0,CHO,Protein,230.11542828158,-0.0199607649797614,1,229.1081518147,229.1081518147,11217282,76.15,439746.9,0.0196112428727853,134
229.1445478147,12,22,4,0,0,0,0,0,CHO,Protein,230.15182428158,-0.0655522936574404,1,229.1445478147,229.1445478147,2089094.8,12.13,451961.6,0.00365237724317467,135
229.1693438147,0,0,0,0,0,0,0,0,,None,230.17662028158,0,0,229.1693438147,229.1693438147,1604617.9,8.74,444989,0.00280536330948252,136
230.066998950529,9,13,6,1,0,0,0,0,CHON,Tannin,231.074275417409,0.0507961834962511,1,230.066998950529,230.066998950529,2474495.3,14.84,515845.3,0.00432617529949463,137
230.075115879644,9,14,6,0,1,0,0,0,CHO,Lignin,231.082392346524,0.00291357646049916,0,230.075115879644,230.075115879644,9018880,60.73,464798.2,0.0157677631818925,138
230.10339763266,10,17,5,1,0,0,0,0,CHON,Protein,231.11067409954,-0.00622273268982035,1,230.10339763266,230.10339763266,1516804.3,8.12,572396.5,0.00265183825438151,139
231.0510308663,9,12,7,0,0,0,0,0,CHO,Tannin,232.05830733318,-0.0197936459803221,1,231.0510308663,231.0510308663,27806346,192.47,453041.3,0.0486140051405235,140
231.0874163726,10,16,6,0,0,0,0,0,CHO,AminoSugar,232.09469283948,-0.019790542928625,1,231.0874163726,231.0874163726,42736272,297.17,445255.1,0.0747160862737884,141
231.1238018789,11,20,5,0,0,0,0,0,CHO,Protein,232.13107834578,-0.0197874408497067,1,231.1238018789,231.1238018789,2196885,12.89,475563.4,0.00384082751049487,142
231.3319038789,0,0,0,0,0,0,0,0,,None,232.33918034578,0,0,231.3319038789,231.3319038789,1614132,8.8,326740,0.00282199686882568,143
232.054352172819,8,12,7,0,1,0,0,0,CHO,Tannin,233.061628639699,0.124164585541235,0,232.054352172819,232.054352172819,3059491.8,18.94,462259.7,0.00534892826596452,144
232.090779102506,9,16,6,0,1,0,0,0,CHO,AminoSugar,233.098055569386,-0.0535628053642443,0,232.090779102506,232.090779102506,4762409.5,30.88,455974.1,0.00832614971827935,145
233.0489189305,9,14,7,0,0,0,0,0,CHO,Carb,234.05619539738,75.8681336756504,1,233.0489189305,233.0489189305,13149128,89.69,448171,0.0229887010751216,146
233.0666809305,9,14,7,0,0,0,0,0,CHO,Carb,234.07395739738,-0.0196231995785327,1,233.0666809305,233.0666809305,16212939,111.17,454321,0.028345180624919,147
233.085274409493,10,18,4,0,0,1,0,0,CHOS,Protein,234.092550876373,0.12336927048054,1,233.085274409493,233.085274409493,1384014.4,7.19,487626.1,0.00241968085832488,148
233.1030664368,10,18,6,0,0,0,0,0,CHO,AminoSugar,234.11034290368,-0.0196201497344164,1,233.1030664368,233.1030664368,2585553.3,15.61,542100.2,0.00452033868158361,149
234.070073227695,8,14,7,0,1,0,0,0,CHO,Carb,235.077349694575,-0.178888673189931,0,234.070073227695,234.070073227695,1911933.1,10.81,468140.1,0.00334264435721749,150
235.0021051158,8,13,2,0,0,2,1,0,CHOSP,Lipid,236.00938158268,0.32188898377562,1,235.0021051158,235.0021051158,1452461,7.61,369500.2,0.00253934646862302,151
235.0248161158,11,8,6,0,0,0,0,0,CHO,ConHC,236.03209258268,-0.0194604044385904,1,235.0248161158,235.0248161158,15136049,102.87,439298.7,0.0264624472375197,152
235.0282091158,11,8,6,0,0,0,0,0,CHO,ConHC,236.03548558268,-14.3944173123446,1,235.0282091158,235.0282091158,4355378,27.82,466325.8,0.00761453405208017,153
235.0645841158,12,12,5,0,0,0,0,0,CHO,Lignin,236.07186058268,-14.3476946876431,1,235.0645841158,235.0645841158,22576442,154.67,448596.6,0.0394705319225594,154
235.1010141158,10,20,6,0,0,0,0,0,CHO,AminoSugar,236.10829058268,74.9562494241638,1,235.1010141158,235.1010141158,2129984.3,12.32,518986.8,0.00372386460664175,155
236.028202325604,10,8,6,0,1,0,0,0,CHO,ConHC,237.035478792484,-0.151729539976452,1,236.028202325604,236.028202325604,1873401.9,10.54,448722.8,0.00327528002409474,156
236.05651121867,11,11,5,1,0,0,0,0,CHON,Lignin,237.06378768555,-0.275102115756794,1,236.05651121867,236.05651121867,2172671.8,12.62,490762,0.00379849542452901,157
236.067966175399,11,12,5,0,1,0,0,0,CHO,Lignin,237.075242642279,-14.4017938833683,0,236.067966175399,236.067966175399,1995778.1,11.39,478839.7,0.00348923108461444,158
236.9254846737,0,0,0,0,0,0,0,0,,None,237.93276114058,0,0,236.9254846737,236.9254846737,1418422.6,7.37,337982.2,0.00247983692527723,159
237.0040806737,10,6,7,0,0,0,0,0,CHO,ConHC,238.01135714058,-0.0192985748131034,1,237.0040806737,237.0040806737,2005447.6,11.45,439710.8,0.00350613633073006,160
237.04046618,11,10,6,0,0,0,0,0,CHO,Lignin,238.04774264688,-0.0192956251527289,1,237.04046618,237.04046618,5735119.5,37.42,479839,0.0100267445731459,161
