Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,data_fticr_neg_esi_2,data_fticr_neg_esi_1
216.132237840224,10,20,4,0,1,0,0,0,CHO,Protein,217.139514307104,-0.00156076450461373,0,4752981.5,6565200
217.029850118556,0,0,0,0,0,0,0,0,,None,218.037126585436,0,0,2734953.5,5253176
217.042386773558,0,0,0,0,0,0,0,0,,None,218.049663240438,0,1,5719160,0
217.048446113972,0,0,0,0,0,0,0,0,,None,218.055722580852,0,0,4237183,12507980
217.050639113431,12,10,4,0,0,0,0,0,CHO,Lignin,218.057915580311,-0.0310509752650496,1,4771201.5,3273806.8
217.063694110214,0,0,0,0,0,0,0,0,,None,218.070970577094,0,0,5525136.5,4759645
217.071761608225,9,14,6,0,0,0,0,0,CHO,AminoSugar,218.079038075105,0.000490164177540052,1,5175449.5,6653798
217.108149599258,10,18,5,0,0,0,0,0,CHO,Protein,218.115426066138,-0.0109017421929334,1,43744452,43006860
217.144533590294,11,22,4,0,0,0,0,0,CHO,Protein,218.151810057174,-0.00395400609174549,1,4994797,7427509.5
218.011451133983,0,0,0,0,0,0,0,0,,None,219.018727600863,0,0,0,2550231.5
218.111505852525,9,18,5,0,1,0,0,0,CHO,Protein,219.118782319405,-0.0173116371022143,0,4708651,4892353
218.986177809404,0,0,0,0,0,0,0,0,,None,219.993454276284,0,0,0,2734662.5
219.029898627569,11,8,5,0,0,0,0,0,CHO,ConHC,220.037175094449,-0.00784935102772245,1,7679247,7710066.5
219.042952124378,0,0,0,0,0,0,0,0,,None,220.050228591258,0,0,3081757.3,3865983.8
219.045478789679,0,0,0,0,0,0,0,0,,None,220.052755256559,0,0,0,4500610.5
219.066288118673,12,12,4,0,0,0,0,0,CHO,Lignin,220.073564585553,-0.025954744805752,1,8633654,7638935.5
219.079336115483,0,0,0,0,0,0,0,0,,None,220.086612582363,0,0,8980292,9425317
219.087409775734,9,16,6,0,0,0,0,0,CHO,AminoSugar,220.094686242614,0.00910329145115104,1,0,3338924.8
219.102645109785,13,16,3,0,0,0,0,0,CHO,Lignin,220.109921576665,0.103599304158932,1,3216732.5,3470268
220.97778214835,0,0,0,0,0,0,0,0,,None,221.98505861523,0,0,0,5655751
221.009168645572,10,6,6,0,0,0,0,0,CHO,ConHC,222.016445112452,-0.0323726111114215,1,8363765.5,9183971
221.045547636749,11,10,5,0,0,0,0,0,CHO,Lignin,222.052824103629,-0.00302688610111804,1,29238552,28644100
