mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
3019,C19H27O5Cl,HCOCl,19,27,5,0,1,370.1547016,369.14742513312,3,5.7,0.526315789473684,3,0,0,0,0.631218975409865,0.5381514720715,0.533467411994934,1.52545659244061,1.63289637630805,0.934202938149469,0.124238878852176
3021,C20H31O4Cl,HCOCl,20,31,4,0,1,370.1910872,369.18381073312,2,5.8,0.344827586206897,2,0,0,0,0.295542045496404,0.227247111936633,0.216314598917961,1.31995779275894,1.64304153714329,0.803362400109443,0.339310982404835
3060,C17H21O7Cl,HCOCl,17,21,7,0,1,372.0975807,371.09030423312,3,5.6,0.535714285714286,3,0,0,0,0.108276412822306,0.0699766851243254,0.0588297992944717,1.50382518768311,1.60312128160149,0.938060772408194,0.382833901192982
3065,C18H25O6Cl,HCOCl,18,25,6,0,1,372.1339662,371.12668973312,3,5.7,0.526315789473684,3,0,0,0,0.242732324171811,0.156081729552766,0.138278663158417,1.51464089751244,1.61804663646035,0.936092238247147,0.0635137592977295
3069,C19H29O5Cl,HCOCl,19,29,5,0,1,372.1703517,371.16307523312,3,5.8,0.517241379310345,3,0,0,0,0.205335190519691,0.115568779986962,0.0744345039129257,1.52545659244061,1.63312640227377,0.934071355601586,0.396260842688742
3112,C17H23O7Cl,HCOCl,17,23,7,0,1,374.1132308,373.10595433312,3,5.6,0.535714285714286,3,0,0,0,0.135157824493945,0.0780580406674153,0.0588297992944717,1.50382518768311,1.60335130756721,0.937926192834734,-0.0608810033573526
3117,C18H27O6Cl,HCOCl,18,27,6,0,1,374.1496163,373.14233983312,2,5.7,0.350877192982456,2,0,0,0,0.441426255274564,0.330367881155536,0.319957792758942,1.19468310475349,1.58804876287468,0.752296234651438,0.262073588502593
3170,C17H25O7Cl,HCOCl,17,25,7,0,1,376.1288808,375.12160433312,2.1,5.6,0.375,2,1,0,0,0.459967956878245,0.334140006507703,0.319957792758942,1.18386739492416,1.57328709424473,0.752480204823956,-0.0623579170947966
3309,C18H19O7Cl,HCOCl,18,19,7,0,1,382.0819306,381.07465413312,3,5.7,0.526315789473684,3,0,0,0,1.06128407316282,0.82724193690469,0.805316925048828,1.51464089751244,1.61979248095304,0.935083299449116,0.277603785158271
3316,C19H23O6Cl,HCOCl,19,23,6,0,1,382.1183161,381.11103963312,2,5.7,0.350877192982456,2,0,0,0,1.5623143967241,0.937615537805307,0.794501185417175,1.20549879968166,1.60253869974986,0.752243175075792,0.318263858810005
3320,C20H27O5Cl,HCOCl,20,27,5,0,1,382.1547016,381.14742513312,2,5.7,0.350877192982456,2,0,0,0,1.32745247986168,0.862049186027551,0.783685386180878,1.21631459891796,1.61760534858331,0.751922958206835,0.526830230713716
