8875	8	3	0.001																																																															
id	mf	name	m_mj0	p_mj0	m_mj1	p_mj1	m_mj2	p_mj2	m_mj3	p_mj3	m_mj4	p_mj4	m_mj5	p_mj5	m_mj6	p_mj6	m_mj7	p_mj7	m_mn0_0	p_mn0_0	m_mn0_1	p_mn0_1	m_mn0_2	p_mn0_2	m_mn1_0	p_mn1_0	m_mn1_1	p_mn1_1	m_mn1_2	p_mn1_2	m_mn2_0	p_mn2_0	m_mn2_1	p_mn2_1	m_mn2_2	p_mn2_2	m_mn3_0	p_mn3_0	m_mn3_1	p_mn3_1	m_mn3_2	p_mn3_2	m_mn4_0	p_mn4_0	m_mn4_1	p_mn4_1	m_mn4_2	p_mn4_2	m_mn5_0	p_mn5_0	m_mn5_1	p_mn5_1	m_mn5_2	p_mn5_2	m_mn6_0	p_mn6_0	m_mn6_1	p_mn6_1	m_mn6_2	p_mn6_2	m_mn7_0	p_mn7_0	m_mn7_1	p_mn7_1	m_mn7_2	p_mn7_2
31	C3H7O2Cl		110.0134571	1	111.016812	0.03244719	112.0105071	0.3199578	113.0138619	0.01038173	114.0147534	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.0177035	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	C4H11OCl		110.0498427	1	111.0531975	0.04326291	112.0468926	0.3199578	113.0502474	0.01384231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.0561194	0.001265145	0	0	0	0	112.054089	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	C2H2OCl2		111.94827	1	112.9516249	0.02163146	113.94532	0.6399155	114.9486748	0.01384231	115.9423699	0.102373	116.9457247	0.002214476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.9525164	0.002054994	0	0	0	0	0	0	0	0	0	0	115.9495663	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	C2H4OCl2		113.9639201	1	114.9672749	0.02163146	115.96097	0.6399155	116.9643249	0.01384231	117.9580199	0.102373	118.9613748	0.002214476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115.9681665	0.002054994	0	0	0	0	0	0	0	0	0	0	117.9652164	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	CH3O4Cl		113.9719863	1	114.9753411	0.01081573	115.9690362	0.3199578	116.972391	0.003460576	117.9732825	0.002630045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.9762033	0.001523703	0	0	0	0	115.9762326	0.008219974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	CH2O2Cl2		115.9431847	1	116.9465395	0.01081573	117.9402346	0.6399155	118.9435894	0.006921153	119.9372845	0.102373	120.9406393	0.001107238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.947431	0.004109987	0	0	0	0	0	0	0	0	0	0	119.944481	0.002630045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	C4HO2Cl		115.966507	1	116.9698618	0.04326291	117.9635569	0.3199578	118.9669117	0.01384231	119.9678032	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.9707533	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	C2H6OCl2		115.9795702	1	116.982925	0.02163146	117.9766201	0.6399155	118.9799749	0.01384231	119.97367	0.102373	120.9770248	0.002214476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.9838166	0.002054994	0	0	0	0	0	0	0	0	0	0	119.9808665	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	C5H5OCl		116.0028925	1	117.0062473	0.05407864	117.9999424	0.3199578	119.0032972	0.01730288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.0071388	0.002054994	118.0096021	0.0011698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	CHCl3		117.9143831	1	118.9177379	0.01081573	119.911433	0.9598733	120.9147878	0.01038173	121.9084829	0.3071189	122.9118377	0.003321715	123.9055328	0.03275502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	C4H3O2Cl		117.982157	1	118.9855119	0.04326291	119.9792069	0.3199578	120.9825618	0.01384231	121.9834533	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.9864034	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
