ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
1178,344.143294840622,2195941,10.85,0.000330090870818361,2366,C21H23O2Cl,344.1357076,344.14298406688,0.3199578,2,-1,0.903036690952284
1152,342.182611804135,2825318.3,14.62,0.000424698012371941,2369,C22H27OCl,342.1750432,342.18231966688,1,0,-1,0.853747369195877
1200,346.075675731679,1620841.9,7.41,0.000243642754623138,2400,C14H23O3Cl3,346.0683275,346.07560396688,0.9598733,2,-1,0.207367403229197
1222,348.072439561381,2619168.3,13.09,0.000393709824155953,2400,C14H23O3Cl3,348.0653775,348.07265396688,0.3071189,4,-1,-0.615979154005715
1188,345.097994855659,17564576,102.77,0.00264028322591331,2403,C12H21O9Cl,345.0907648,345.09804126688,0.1297887,1,-1,-0.134487059001932
1203,346.101273978055,3651446,19.55,0.00054888040702652,2403,C12H21O9Cl,346.0941196,346.10139606688,0.007720679,2,2,-0.352754500506355
1211,347.096025204698,2124109,10.2,0.000319293182067787,2403,C12H21O9Cl,347.0886769,347.09595336688,0.001096921,3,1,0.206968179517197
1203,346.101273978055,3651446,19.55,0.00054888040702652,2405,C23H17OCl,346.0938428,346.10111926688,0.3199578,2,-1,0.447011483892989
1225,348.108832044821,9519410,53.49,0.00143094479158457,2407,C15H27O2Cl3,348.101763,348.10903946688,0.3071189,4,-1,-0.595853698917252
1235,349.112340019777,1615895.3,7.21,0.000242899188424597,2407,C15H27O2Cl3,349.1051178,349.11239426688,0.04982572,5,-1,-0.155385782716635
1208,346.158829532011,5265809,29.21,0.000791549262194733,2411,C21H25O2Cl,346.1513576,346.15863406688,0.3199578,2,-1,0.564669233639994
1197,345.170765864897,8512450,48.63,0.00127957993101716,2412,C14H29O7Cl,345.1635358,345.17081226688,0.1514202,1,-1,-0.134431942331256
1219,347.171068096868,1670768.8,7.54,0.000251147698471019,2412,C14H29O7Cl,347.1635076,347.17078406688,0.001067182,3,1,0.818127565041834
1223,348.080588445715,2637604.3,13.2,0.000396481098654861,2447,C22H15O2Cl,348.0731073,348.08038376688,0.3199578,2,-1,0.588021744878586
1204,346.104529009384,2060663.5,10.04,0.000309756140615168,2450,C19H19O4Cl,346.0971868,346.10446326688,1,0,-1,0.189949887016355
1225,348.108832044821,9519410,53.49,0.00143094479158457,2450,C19H19O4Cl,348.1014331,348.10870956688,0.008219974,2,1,0.351838198350488
1235,349.112340019777,1615895.3,7.21,0.000242899188424597,2450,C19H19O4Cl,349.104788,349.11206446688,0.001689195,3,1,0.789296404903414
1226,348.116949929595,9406774,52.83,0.00141401350093264,2452,C23H19OCl,348.1094928,348.11676926688,0.3199578,2,-1,0.518971594764779
1207,346.140633356878,1882504.4,8.97,0.000282975506498306,2454,C20H23O3Cl,346.1335723,346.14084876688,1,0,-1,-0.622318929480464
1228,348.145290527325,5985603.5,32.8,0.000899747794539303,2454,C20H23O3Cl,348.1378187,348.14509516688,0.006164981,2,1,0.561146624015301
1279,352.948905236583,5334662,28.98,0.000801899151708366,2468,C12H6O8Cl2,352.9414272,352.94870366688,0.01328686,5,-1,0.571101977594625
1224,348.083605402892,2674469.8,13.42,0.0004020226705815,2492,C18H17O5Cl,348.0764513,348.08372776688,1,0,-1,-0.351536077937086
1244,350.088208405922,5086452,27.53,0.000764588561375645,2492,C18H17O5Cl,350.0806977,350.08797416688,0.01027497,2,1,0.669086227585927
1245,350.096268466794,8111352,45.24,0.00121928742402198,2494,C22H17O2Cl,350.0887574,350.09603386688,0.3199578,2,-1,0.67010160474329
1227,348.120085885083,3216695.3,16.59,0.000483529271840332,2497,C19H21O4Cl,348.1128368,348.12011326688,1,0,-1,-0.0786561770998024
1247,350.124499680005,11939078,67.65,0.00179466600140365,2497,C19H21O4Cl,350.1170832,350.12435966688,0.008219974,2,1,0.399895413019647
1248,350.132654741595,15144202,86.42,0.0022764558911324,2498,C23H21OCl,350.1251429,350.13241936688,0.3199578,2,-1,0.672244848310876
1259,351.135679699414,1631737.5,7.3,0.000245280566427776,2498,C23H21OCl,351.1284977,351.13577416688,0.07959326,3,-1,-0.269034011281439
1269,352.075533561534,2390222.3,11.74,0.00035929497215839,2534,C21H15O3Cl,352.0680219,352.07529836688,0.3199578,2,-1,0.668023729547358
1304,354.098212197647,1911502.8,8.93,0.000287334506630067,2538,C17H25OCl3,354.0911983,354.09847476688,0.3071189,4,-1,-0.741514723405467
1273,352.111971963924,16228577,92.76,0.00243945766943321,2540,C22H19O2Cl,352.1044074,352.11168386688,0.3199578,2,-1,0.818197910509913
1257,351.123951404756,1851635.6,8.59,0.000278335350377027,2541,C15H23O7Cl,351.1165856,351.12386206688,0.1622359,1,-1,0.254434077948398
1249,350.135812765446,2777355.5,14.01,0.000417488309370409,2542,C19H23O4Cl,350.1284869,350.13576336688,1,0,-1,0.141084033122539
1260,351.139360536521,1625339.3,7.26,0.000244318797687327,2542,C19H23O4Cl,351.1318417,351.13911816688,0.2054988,1,-1,0.690238221850908
1276,352.140194501059,8960239,50.21,0.00134689096576395,2542,C19H23O4Cl,352.1327333,352.14000976688,0.008219974,2,1,0.524604344716357
1277,352.148275368528,16101619,92.02,0.0024203735151789,2543,C23H23OCl,352.1407929,352.14806936688,0.3199578,2,-1,0.584985880572919
1281,353.066524635564,1719489.6,7.81,0.000258471343003804,2581,C13H17O9Cl,353.0594646,353.06674106688,0.1406045,1,-1,-0.613003975823739
1302,354.091124160426,5600459,30.53,0.000841853396012247,2585,C21H17O3Cl,354.083672,354.09094846688,0.3199578,2,-1,0.496181973314937
1304,354.098212197647,1911502.8,8.93,0.000287334506630067,2585,C21H17O3Cl,354.0908685,354.09814496688,0.006164981,2,1,0.189864782843579
1285,353.103079869688,3411156.3,17.71,0.000512760385440474,2586,C14H21O8Cl,353.0958501,353.10312656688,0.1514202,1,-1,-0.132248026166292
1274,352.11505991328,2386914.3,11.72,0.000358797718087963,2588,C18H21O5Cl,352.1077515,352.11502796688,1,0,-1,0.0907271697929025
