mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
5271,C25H25O6Cl,HCOCl,25,25,6,0,1,456.1339662,456.14124266688,3.1,6.7,0.462686567164179,3,1,0,0,1.9728421100881,1.13374037955919,0.823370456695557,1.60268094576895,1.74174555204809,0.920157909336636,0.408660681598603
5314,C23H19O8Cl,HCOCl,23,19,8,0,1,458.0768452,458.08412166688,2.1,6.7,0.313432835820896,2,1,0,0,1.97160074103158,1.15295819411416,0.810033440589905,1.24876169860363,1.66432336869184,0.750311941834452,0.0418640211534811
5320,C24H23O7Cl,HCOCl,24,23,7,0,1,458.1132308,458.12050726688,3.1,6.7,0.462686567164179,3,1,0,0,1.67444191989489,1.04937985898233,0.740422487258911,1.59392026532441,1.7260973805096,0.923424299997395,0.324642048875246
5326,C25H27O6Cl,HCOCl,25,27,6,0,1,458.1496163,458.15689276688,3.1,6.7,0.462686567164179,3,1,0,0,1.54322270839475,0.97415410868456,0.729606807231903,1.60268094576895,1.74197557801381,0.920036403493281,0.199445827619969
5370,C23H21O8Cl,HCOCl,23,21,8,0,1,460.0924953,460.09977176688,2.2,6.7,0.328358208955224,2,2,0,0,1.93429467070382,1.12706078418749,0.772727370262146,1.25180910364725,1.66455339558888,0.752039019574007,0.2022949803831
5382,C21H36O2Cl4,HCOCl,21,36,2,0,4,460.1469411,460.15421756688,2,9.1,0.21978021978022,2,0,0,0,1.15746247395873,0.581199276834599,0.479936599731445,1.78135311603546,2.92292802035809,0.609441321725476,-0.181033893088932
5623,C25H23O7Cl,HCOCl,25,23,7,0,1,470.1132308,470.12050726688,3.1,6.7,0.462686567164179,3,1,0,0,2.08487600006629,1.18408074650434,0.852121770381927,1.60473594535142,1.74412923643831,0.920078576647482,-0.0463077153170067
5629,C26H27O6Cl,HCOCl,26,27,6,0,1,470.1496163,470.15689276688,3.1,6.8,0.455882352941177,3,1,0,0,1.89850961067714,1.11917356542652,0.840444087982178,1.61349665559828,1.760154732503,0.916678872489715,-0.163670397693109
5658,C24H21O8Cl,HCOCl,24,21,8,0,1,472.0924953,472.09977176688,3.1,6.7,0.462686567164179,3,1,0,0,1.75486975733656,1.08635990808532,0.777672648429871,1.59597525559366,1.72847394587006,0.923343542092148,0.45045538880211
5666,C25H25O7Cl,HCOCl,25,25,7,0,1,472.1288808,472.13615726688,3.2,6.7,0.477611940298508,3,2,0,0,1.60324379720259,1.03666665919821,0.729887425899506,1.60740242432803,1.74435926356819,0.921485876160623,0.41806600785605
