mOz	abs_abu	sn	resolution	rel_abu
259.110755	6377260	20.16	766599.866863905	0.00849895631687368
259.118812	30291756	103.26	709914.553424658	0.0403697373174994
259.130051	9003818	29.29	768931.902077151	0.0119993627148777
259.155201	14905128	49.79	740443.431428571	0.0198640218164871
260.122206	3802837.3	11.22	756169.203488372	0.00506803048533035
260.158575	3445714	9.97	722662.708333333	0.00459209327617818
260.787044	5554844	17.25	764771.390029325	0.00740292484594447
260.956095	12710541	42.05	735087.591549296	0.0169393019451664
261.040574	8989318	29.16	745830.211428571	0.0119800386059979
261.043931	6602373.5	20.88	793446.598784195	0.00879896443992943
261.053594	5381764.5	16.66	737439.531073446	0.00717226228712668
261.06168	6113924	19.19	815817.75	0.00814800917646224
261.076939	8495747	27.45	745934.111428571	0.0113222579340047
261.090007	13401730	44.44	733398.896067416	0.0178604475653393
261.113336	11906688	39.26	703809.530997305	0.0158680093316948
261.116694	18826880	63.24	731419.31092437	0.02509052958528
261.126418	4727934.5	14.39	821152.257861635	0.00630090490030828
261.134461	24796798	83.93	727394.04178273	0.0330466223739256
262.093373	2668587.5	7.25	726020.423822715	0.00355641899346352
262.137799	3665959.5	10.71	770993.526470588	0.00488561382943899
262.784091	9828849	32.06	717989.319672131	0.0130988791888911
262.976108	3840993.3	11.32	664081.080808081	0.00511888087832462
263.019816	6495709.5	20.52	740900.890140845	0.00865681362961544
263.056216	12508635	41.35	734793.899441341	0.016670222391547
263.059583	20059610	67.51	710971.845945946	0.0267333853604091
263.069273	15197657	50.67	709081.598382749	0.0202538743852108
263.07145	8163801.5	26.3	728729.778393352	0.0108798751075113
263.087037	6127064	19.24	711046.045945946	0.00816552081719881
263.092593	24258008	82.06	726775.11878453	0.0323285784688679
263.105654	32576982	110.89	711096.362162162	0.043415251527079
263.128981	44791252	153.21	715024.404891304	0.0596931745179091
263.132349	46847444	160.33	709251.614555256	0.062433455765201
263.142076	3481555.5	10.07	835371.66984127	0.00463985914158609
263.178433	5910992.5	18.49	694402.197889182	0.00787756294190106
264.087863	2849671.3	7.88	889184.723905724	0.00379774886019209
264.09595	4874118.5	14.9	810110.27607362	0.00649572390254841
264.109013	4151685.8	12.39	786038.729166667	0.00553293989198884
264.132353	6452612	20.37	727637.336088154	0.00859937771358466
264.135713	6347139.5	20	770074.965014577	0.00845881481194172
264.137306	4239747.5	12.7	746150.581920904	0.00565029946984667
264.781162	5957458	18.6	715624.762162162	0.0079394873819806
264.850612	4355917	13.06	843473.286624204	0.00580511823305423
264.997299	20174146	67.72	716208.916216216	0.026886027162799
265.035468	8535359	27.5	744481.651685393	0.0113750487340699
265.066328	4950845	15.12	722251.57493188	0.00659797709151147
265.071855	22762812	76.66	718351.910569106	0.0303359349998601
265.07521	4218172.5	12.59	800831.450151057	0.00562154652853072
265.084926	20337980	68.28	720339.472826087	0.0271043682699859
265.102705	10344762	33.76	730310.482093664	0.0137864349809252
265.108244	56902968	194.62	706955.317333333	0.0758344240837696
