Index,Mass,IdealMass
825,319.06705000,319.06707486
826,319.08240600,319.08233099
827,319.08569500,319.08563601
828,319.09213500,319.09210736
829,319.09542900,319.09541740
830,319.10343300,319.10346037
831,319.11876300,319.11871650
832,319.12204100,319.12200843
833,319.13169200,319.13170042
834,319.13980300,319.13984587
835,320.04114700,320.04115486
836,320.04457100,320.04457888
837,320.05263300,320.05264094
838,320.07040400,320.07041206
839,320.07762900,320.07763711
840,320.08100300,320.08101114
841,320.08903300,320.08904119
842,320.09871700,320.09872526
843,320.10687900,320.10688732
844,320.12530500,320.12531345
845,320.17939200,320.17940084
846,321.02519000,321.02521005
847,321.02856800,321.02858466
848,321.06161200,321.06159555
849,321.06494700,321.06494392
850,321.07467900,321.07471494
851,321.08265700,321.08272493
852,321.09800700,321.09798106
853,321.10135800,321.10133727
854,321.11102500,321.11101931
855,321.13433600,321.13436657
856,321.13774800,321.13777857
857,321.92513400,321.92514584
858,322.03192000,322.03193141
859,322.05682800,322.05683931
860,322.06022100,322.06023230
861,322.06498100,322.06499228
862,322.06828700,322.06829827
863,322.09327700,322.09328817
864,322.09665600,322.09666715
865,322.10473000,322.10474112
866,322.12962000,322.12963102
867,322.14108800,322.14109897
868,323.00449800,323.00447460
869,323.04082400,323.04086011
870,323.04416700,323.04420187
871,323.07722300,323.07724562
872,323.08055700,323.08057564
873,323.08846200,323.08847120
874,323.09024800,323.09025507
875,323.09727200,323.09727068
876,323.10808800,323.10807377
877,323.11365200,323.11363112
878,323.11699600,323.11697903
879,323.14999500,323.15001663
880,323.15339600,323.15341763
881,324.03618700,324.03619101
882,324.04421700,324.04422099
883,324.04756000,324.04756397
884,324.07247400,324.07247789
885,324.07583300,324.07583688
886,324.08063400,324.08063786
887,324.08397700,324.08398085
888,324.10884300,324.10884677
889,324.11701200,324.11701574
890,324.12027600,324.12027973
891,325.02019100,325.02012467
892,325.02350800,325.02344710
893,325.04010100,325.04006728
894,325.05651700,325.05651017
895,325.05988700,325.05988690
896,325.06776300,325.06777863
897,325.07654900,325.07658217
898,325.09283000,325.09289568
