mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,p_dtma,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
40215,C20H25O7Cl,HCOCl,20,25,7,0,1,412.12888081867,411.12160435179,4.1,5.7,0.719298245614035,4,1,0,0,0.0178503678180277,0.0102344170255629,0.00711144367232919,0,1.62771005555987,1.65930229483638,0.980960528184154,0.0127207039049268
40689,C20H27O7Cl,HCOCl,20,27,7,0,1,414.14453088281,413.13725441593,4,5.7,0.701754385964912,4,0,0,0,0.0325205982662737,0.0185167019939391,0.0122590959072113,0,1.60548385977745,1.65953232126776,0.967431510192569,0.00574361958322474
41149,C23H20N4O2S,HCNOS,23,20,2,5,0,416.13069689972,415.12342043284,4,5.9,0.677966101694915,4,0,0,0,2.41758066602051,1.4031647182364,0.972901403903961,0.972901403903961,1.05719570687506,1.34852580842562,0.783964014829883,0.261535232439673
42322,C6H2O2Br4,HCOBr,6,2,2,0,4,425.67473470326,424.66745823638,10,10.6,0.943396226415095,10,0,0,0,0.052069210447371,0.0256788335782626,0.0209174752235413,0,2.84080021735281,2.85448746569455,0.995205006675898,0.0233322135441068
42447,C19H20N4O2FSCl,HCNOFSCl,19,20,2,5,2,422.09795279972,421.09067633284,4,7.3,0.547945205479452,4,0,0,0,0.0483278892934322,0.026976407224633,0.0216770470142365,0,1.59120755642653,1.72275408764835,0.923641724512523,0.0481440913434427
42525,C19H31O8Cl,HCOCl,19,31,8,0,1,422.17074563065,421.16346916377,4,6.8,0.588235294117647,4,0,0,0,0.0173433296149597,0.00882512520276215,0.00640029972419143,0,1.59120755642653,1.64749031036627,0.965837277715322,0.00810269011361421
43380,C20H23O8Cl,HCOCl,20,23,8,0,1,426.10814537409,425.10086890721,4.1,6.7,0.611940298507463,4,1,0,0,0.0216449372237548,0.0106547057787432,0.00711144367232919,0,1.62771005555987,1.66309054638259,0.978726058602357,0.0119013542205944
43826,C22H22N4FSCl,HCNFSCl,22,22,0,5,2,428.12377362474,427.11649715786,4.1,7.4,0.554054054054054,4,1,0,0,0.0524107399396598,0.0269760931956419,0.0189845412969589,0,1.63591517799068,1.7737133790506,0.922310897190345,0.0537922957612937
43827,C20H25O8Cl,HCOCl,20,25,8,0,1,428.12379543823,427.11651897135,4,6.7,0.597014925373134,4,0,0,0,0.0631955288117751,0.0340912536099588,0.0259056910872459,0,1.60548385977745,1.66332057281397,0.965228162278619,0.00272077268936467
45177,C20H31O8Cl,HCOCl,20,31,8,0,1,434.17074563065,433.16346916377,4.1,6.8,0.602941176470588,4,1,0,0,0.0249727464979514,0.0120779540537386,0.00711144367232919,0,1.62771005555987,1.66515143273864,0.977514731427648,0.0171601696121411
45979,C20H24N4O2FSCl,HCNOFSCl,20,24,2,5,2,438.129252928,437.12197646112,4,7.4,0.540540540540541,4,0,0,0,0.0562262695748359,0.0304302307098073,0.0239187180995941,0,1.60548385977745,1.74072621332016,0.922306935744505,0.0627836859116884
45980,C18H27O10Cl,HCOCl,18,27,10,0,1,438.12927474149,437.12199827461,4,6.8,0.588235294117647,4,0,0,0,0.0181167850969359,0.00906033461267266,0.00657511176541448,0,1.57693123817444,1.63640084967483,0.963658286102573,0.0128811611353508
46355,C22H18N4OFSCl,HCNOFSCl,22,18,1,5,2,440.08738811602,439.08011164914,4,7.4,0.540540540540541,4,0,0,0,0.0436883973889053,0.0213287974661469,0.0143154067918658,0,1.63403645902872,1.77342960075475,0.921399111830147,0.0692582513276309
47747,C21H31O8Cl,HCOCl,21,31,8,0,1,446.17074563065,445.16346916377,4,6.8,0.588235294117647,4,0,0,0,0.028893135371618,0.0159525883106007,0.0127068758010864,0,1.6197601556778,1.68299099581782,0.962429483997746,-0.00173913393358424
48203,C21H33O8Cl,HCOCl,21,33,8,0,1,448.18639569479,447.17911922791,4,6.8,0.588235294117647,4,0,0,0,0.0278563125757501,0.0138956945982232,0.00855830311775208,0,1.6197601556778,1.68329462117981,0.962255885153672,0.0140062212066726
48922,C21H26N4O2FSCl,HCNOFSCl,21,26,2,5,2,452.14490299214,451.13762652526,4.2,7.5,0.56,4,2,0,0,0.0522400385234505,0.0307692993528979,0.0263987332582474,0,1.6890675034374,1.7586093241116,0.96045635621241,0.0624666288426907
49280,C20H23O10P,HCOP,20,23,10,1,0,454.10288356321,453.09560709633,4.1,4.4,0.931818181818182,4,1,0,0,0.011987695004791,0.00959218512472593,0.00924403965473175,0,1.26353595172986,1.2714328673901,0.993788963725273,0.438575864595576
49281,C23H20N4OFSCl,HCNOFSCl,23,20,1,5,2,454.10303818016,453.09576171328,4.3,7.4,0.581081081081081,4,3,0,0,0.0532796722836792,0.0290546792398266,0.0232031345367432,0,1.6799636897631,1.79159855260514,0.937689800720305,0.0973300819701397
49310,C22H27O8Cl,HCOCl,22,27,8,0,1,454.13944550237,453.13216903549,4,6.7,0.597014925373134,4,0,0,0,0.0706310811219737,0.0413276772620325,0.0353506729006767,0,1.63403645902872,1.69940944563132,0.961531938773995,0.0436097423118796
49648,C23H22N4OFSCl,HCNOFSCl,23,22,1,5,2,456.1186882443,455.11141177742,4,7.4,0.540540540540541,4,0,0,0,0.0330363404937088,0.0178113650463605,0.0143154067918658,0,1.64831276237965,1.79182857903652,0.919905386968411,0.066157658609795
49995,C22H20N4O2FSCl,HCNOFSCl,22,20,2,5,2,458.09795279972,457.09067633284,4,7.5,0.533333333333333,4,0,0,0,0.0518647315911949,0.0262679893870611,0.0152173936367035,0,1.63403645902872,1.77571462071501,0.920213439685912,0.0342090015859878
